"t","utility","dimmer","servers"
660,257.7119718621,1,3
720,246.1278003787,1,3
780,227.295113547808,1,8
840,214.620587881705,1,8
900,215.973810633195,1,8
960,232.974421910997,1,8
1020,211.829421439216,1,8
1080,234.805126907589,1,8
1140,253.851593119105,1,4.00006666666667
1200,217.711133048396,1,7.99991666666667
1260,248.04951237355,1,4.00006666666667
1320,254.249112799323,1,3
1380,178.735984463418,1,13
1440,206.265475640851,1,8
1500,266.157641879266,1,3
1560,181.585997821459,1,12.9998333333333
1620,175.402951243782,1,13
1680,205.590878569615,1,8
1740,238.311183631375,1,8
1800,257.508802567212,1,3
1860,225.030691508577,1,8
1920,245.120384461234,1,3
1980,217.068808615827,1,8
2040,263.115207152592,1,3
2100,248.046946079751,1,3
2160,214.713139790879,1,8
2220,243.413498373862,1,3
2280,247.200137108529,1,3
2340,257.6069847946,1,3
2400,222.293288184249,1,8
2460,216.601627232171,1,8
2520,260.648597203374,1,3
2580,239.057753473147,1,8
2640,212.568480315982,1,8
2700,246.119659357364,1,3
2760,217.321512773472,1,8
2820,261.771370309522,1,3
2880,244.913350019161,1,3
2940,218.504563140208,1,8
3000,252.949219937524,1,4.00006666666668
3060,220.594011822486,1,7.99991666666665
3120,210.463930898403,1,8
3180,214.012684329637,1,8
3240,234.512694544039,1,8
3300,206.778093951248,1,8
3360,177.248710444637,1,13
3420,218.629697631695,1,8
3480,226.004778571605,1,8
3540,259.368216185866,1,3
3600,250.539605392949,1,3
3660,174.729957102579,1,13
3720,231.5990055917,1,8
3780,179.422034355534,1,13
3840,208.648314099358,1,8
3900,160.947230607188,1,13
3960,213.672090966529,1,9.00006666666668
4020,166.116910063925,1,12.9999166666666
4080,259.165456205227,1,3
4140,237.271820086796,1,8
4200,252.078729549484,1,3
4260,260.168126638606,1,3
4320,204.896217998539,1,8
4380,252.293681260975,1,4.00006666666668
4440,166.868244825583,1,13
4500,222.343708456412,1,8
4560,259.850288720106,1,3
4620,247.874395690645,1,3
4680,228.884576935137,1,8
4740,227.452075378562,1,8
4800,224.224322678908,1,8
4860,230.178312258346,1,8
4920,160.126336787815,1,12.9999166666666
4980,254.027711238977,1,3
5040,244.410843584275,1,3
5100,226.344914650745,1,8
5160,252.91619816699,1,3
5220,249.946935013752,1,3
5280,242.048755010225,1,3
5340,252.084608059626,1,3
5400,234.006452933864,1,7.99991666666665
5460,250.438482680194,1,3
5520,255.400209752149,1,3
5580,246.686434608865,1,3
5640,253.69891291888,1,3
5700,258.970593234206,1,3
5760,248.553286183677,1,3
5820,208.895393235178,1,8
5880,238.843747719409,1,8
5940,255.10722754991,1,3
6000,162.825452691064,1,13
6060,206.117078778721,1,9.00006666666668
6120,216.226489983302,1,8
6180,204.185083654073,1,8
6240,230.056684195989,1,8
6300,160.724668219997,1,13
6360,208.018014648904,1,8
6420,237.405024319124,1,4.00006666666668
6480,257.389206779261,1,3
6540,256.888349488929,1,3
6600,161.266250083986,1,13
6660,254.630710490141,1,4.00015000000003
6720,250.955245294791,1,3
6780,243.975343176177,1,3
6840,253.576130901698,1,3
6900,245.431358080517,1,3
6960,167.422129906415,1,12.9996666666666
7020,226.285214987218,1,9.00006666666668
7080,239.599355749924,1,4.00006666666668
7140,169.24294235087,1,12.9998333333333
7200,265.029280646886,1,3
7260,262.80861887365,1,3
7320,194.668550027633,1,3
7380,-121.309259274112,1,3
7440,218.311138769494,0,3
7500,257.634491445391,1,8
7560,288.622311381203,1,8
7620,280.849164546712,1,8
7680,210.264421364025,1,4.00006666666668
7740,126.495935198779,1,3
7800,301.164563307997,1,7.99991666666665
7860,-356.838791274639,1,3
7920,106.289174645195,0,3
7980,246.76965808252,1,3
8040,-321.471053821322,1,3
8100,111.342478498558,0,3
8160,259.392401451057,1,3
8220,-357.501927843296,1,3
8280,71.5783442259033,0,3
8340,93.6143515902272,1,3
8400,268.273672032401,1,8
8460,-198.106179631542,1,3
8520,159.353460136352,0,3
8580,300.823710880884,1,8
8640,175.777334475424,1,3
8700,291.232709048,1,8
8760,-45.5120377097162,1,3
8820,233.706377228342,0,3
8880,9.94552270997935,1,3
8940,-265.015938308348,1,3
9000,212.708635390337,0,3
9060,220.794395319221,1,3
9120,-362.242476148251,1,3
9180,37.6114750519355,1.66666666700621e-05,3
9240,214.674886601645,1,3
9300,-4.61852378497083,1,3
9360,233.153525352148,0,3
9420,274.830732524882,1,8
9480,260.900101416812,1,8
9540,301.911603953349,1,8
9600,255.677936930274,1,13
9660,-285.800545429944,1,3
9720,157.094147107072,0,3
9780,-97.7203162638285,1,3
9840,204.709855727846,0,3
9900,-200.086482456015,1,3
9960,168.059344421873,0,3
10020,-65.0752388225183,1,3
10080,253.33458145271,0,3
10140,-100.663828124336,1,3
10200,202.709661200011,1.66666666700621e-05,3
10260,218.339807319261,1,13
10320,298.504833450892,1,8
10380,285.267153431726,1,8
10440,224.673438786104,1,3
10500,289.9341971936,1,7.99991666666665
10560,232.124896908046,1,3
10620,279.633355564016,1,7.99991666666665
10680,296.767421321559,1,8
10740,-365.473661801671,1,3
10800,-1.1242186563217,0,3
10860,261.34552485356,0,3
10920,262.463679593207,1,8
10980,-358.794686701739,1,3
11040,66.7577653962046,0,3
11100,4.79368976721017,1,3
11160,-360.615849938063,1,3
11220,14.6089554310338,0,3
11280,303.447573823195,1,8
11340,303.805285573721,1,8
11400,-351.261742829954,1,4.00006666666668
11460,67.6401171320143,0,3
11520,260.280542692759,1,8
11580,283.270532718115,1,8
11640,262.373391003277,1,8
11700,264.096124707459,1,8
11760,236.642741835441,1,3
11820,26.9632701900686,1,3
11880,-345.780651472603,1,3
11940,117.731581552616,0,3
12000,262.649476539049,1,8
12060,301.251149318596,1,8
12120,284.844156150909,1,8
12180,240.407611552642,1,4.00006666666668
12240,271.877241442824,1,8
12300,303.616397101824,1,8
12360,206.803411767213,1,3
12420,302.731346339105,1,8
12480,-116.533291828255,1,3
12540,196.221750773914,0,3
12600,282.208446636557,1,8
12660,261.270896569664,1,8
12720,252.201928070442,1,4.00006666666668
12780,294.087826160807,1,8
12840,-60.6794617343609,1,4.00006666666668
12900,202.31537836642,0,3
12960,-362.631449823619,1,3
13020,46.5718215950027,1.66666666700621e-05,3
13080,-359.019387828961,1,3
13140,55.3296297505985,0,3
13200,302.256409437354,1,8
13260,249.161272014338,1,13
13320,289.454188083039,1,8
13380,-127.376125806442,1,4.00006666666668
13440,190.514480461705,0,3
13500,214.062579234823,1,3
13560,264.724636018427,1,8
13620,293.955843616152,1,8
13680,-347.054637917319,1,4.00006666666668
13740,127.802548007183,1.66666666700621e-05,3
13800,280.956346215255,1,8
13860,-31.4535221826549,1,3
13920,245.203628235449,0,3
13980,261.833947331865,1,8
14040,261.485961667347,1,3
14100,208.400591260915,1,8
14160,234.977478805185,1,8
14220,261.553617222304,1,3
14280,228.568898107496,1,8
14340,255.573156321709,1,4.00006666666668
14400,208.936186614407,1,8
14460,262.678603475491,1,3
14520,227.129158686096,1,8
14580,217.733135632186,1,8
14640,204.326832805292,1,8
14700,215.784851287525,1,8
14760,236.214939303899,1,8
14820,222.37012151885,1,8
14880,211.376591971725,1,8
14940,217.493049908305,1,8
