"t","utility","dimmer","servers"
660,177.611022065868,1,13
720,245.937523111258,1,3
780,182.931082845855,1,13
840,213.997303982621,1,8
900,215.306217349126,1,8
960,232.795880426446,1,8
1020,166.749224742241,1,13
1080,234.611573230081,1,8
1140,189.327352099282,1,13
1200,252.519403286084,1,3
1260,257.047407470498,1,3
1320,173.620583017724,1,13
1380,257.478044652709,1,3
1440,244.814498221377,1,3
1500,193.578102851331,1,13
1560,183.339222633529,1,13
1620,257.285300154544,1,3
1680,244.822899099539,1,3
1740,264.409181614835,1,3
1800,257.302007625463,1,3
1860,259.000208910804,1,3
1920,244.0393228893,1,3
1980,253.648023571169,1,3
2040,265.036358089508,1,3
2100,166.760980331425,1,13
2160,170.305168019502,1,13
2220,244.511001529299,1,3
2280,247.723265408729,1,3
2340,257.889546422394,1,3
2400,256.078251523945,1,3
2460,252.904086052342,1,3
2520,183.341762954919,1,13
2580,264.201450527574,1,3
2640,249.010718974678,1,3
2700,208.828184963818,1,8
2760,252.258711935243,1,3
2820,266.348307074894,1,3
2880,245.920448121957,1,3
2940,253.69294707908,1,3
3000,261.007242693508,1,3
3060,176.646081550592,1,13
3120,247.836944542021,1,3
3180,250.961234472848,1,3
3240,262.764561130025,1,3
3300,243.617229799134,1,3
3360,222.5681929521,1,8
3420,253.323643148814,1,3
3480,181.992846745676,1,13
3540,264.003655242291,1,3
3600,250.139696795367,1,3
3660,219.797417201774,1,8
3720,260.050546149354,1,3
3780,254.37872871879,1,3
3840,246.032981392612,1,3
3900,161.941054183182,1,13
3960,178.421878361311,1,13
4020,248.600621995752,1,3
4080,227.382099168802,1,8
4140,262.985876311798,1,3
4200,174.642887930228,1,13
4260,265.240371923366,1,3
4320,242.572123697749,1,3
4380,258.769010353114,1,3
4440,247.821240025953,1,3
4500,256.695607104118,1,3
4560,262.853037044778,1,3
4620,246.957298063923,1,3
4680,261.475320702424,1,3
4740,183.855314961077,1,13
4800,257.052027174042,1,3
4860,229.835555131655,1,8
4920,242.636878297923,1,3
4980,254.868648488025,1,3
5040,243.12951506177,1,3
5100,182.865201934041,1,13
5160,254.127675958216,1,3
5220,249.745964403944,1,3
5280,242.158054035175,1,3
5340,174.446503578385,1,13
5400,264.551817800312,1,3
5460,250.523281578907,1,3
5520,253.350810315555,1,3
5580,165.39491907644,1,13
5640,254.523346088964,1,3
5700,226.700114452478,1,8
5760,211.079786818717,1,8
5820,245.339183045226,1,3
5880,195.786733957242,1,13
5940,255.557503442338,1,3
6000,244.278479322657,1,3
6060,171.519653554895,1,13
6120,251.020177075262,1,3
6180,242.265553727743,1,3
6240,258.454234177089,1,3
6300,242.064427483121,1,3
6360,245.89352723034,1,3
6420,165.14861449727,1,13
6480,259.831634726395,1,3
6540,223.908933614277,1,8
6600,242.770426389799,1,3
6660,262.272557024779,1,3
6720,249.528141989551,1,3
6780,163.845823818347,1,13
6840,217.686783888653,1,8
6900,208.515305286597,1,8
6960,248.63597320664,1,3
7020,260.971523792907,1,3
7080,248.260858990335,1,3
7140,249.459244861869,1,3
7200,263.33301117897,1,3
7260,189.987849312408,1,13
7320,219.910910299799,1,3
7380,-210.659078106804,1,3
7440,208.233175095262,0,3
7500,214.997250417734,1,13
7560,288.931600120253,1,8
7620,-70.6950662389482,1,3
7680,207.89968781102,0,3
7740,63.441557621304,1,3
7800,-366.075633346178,1,3
7860,47.8630987250602,0,3
7920,288.03934970693,1,8
7980,229.09528635603,1,3
8040,245.102965076814,1,13
8100,261.707978412033,1,8
8160,239.296313358449,1,3
8220,-357.501927843296,1,3
8280,78.9494148785387,0,3
8340,179.488710626406,1,3
8400,-27.3736004370326,1,3
8460,231.393961868971,0,3
8520,-41.9780947940011,1,3
8580,248.826294250635,0,3
8640,246.563685495162,1,3
8700,289.346913960738,1,8
8760,196.526290402462,1,3
8820,214.406100980898,1,3
8880,-18.4514871815402,1,3
8940,238.961467131993,0,3
9000,290.63530068823,1,8
9060,241.088306969989,1,4.00006666666668
9120,-362.242476148251,1,3
9180,48.3269237361866,0,3
9240,238.916815917834,1,3
9300,-32.6441101105154,1,3
9360,236.0460534399,0,3
9420,-92.4993803385935,1,3
9480,210.626886294378,0,3
9540,-363.442537822341,1,3
9600,74.6988132505896,0,3
9660,288.27094451642,1,8
9720,245.554067471837,1,13
9780,284.852685981756,1,8
9840,293.777511613609,1,8
9900,-110.496800124062,1,4.00006666666668
9960,172.096427775091,0,3
10020,238.352185977607,1,13
10080,256.84096998153,1,13
10140,284.643755486462,1,8
10200,292.149445182642,1,8
