"t","utility","dimmer","servers"
660,203.776773253721,1,8
720,173.417150800756,1,13
780,242.75122507077,1,3
840,221.019569313541,1,8
900,254.218587132537,1,4.00006666666667
960,249.318693068197,1,3
1020,255.896875957613,1,3
1080,171.907364769461,1,13
1140,175.185947087745,1,13
1200,185.415178194817,1,13
1260,163.798150181673,1,13
1320,192.287612916196,1,13
1380,251.408744223334,1,3
1440,167.892481994677,1,13
1500,212.091595850317,1,8
1560,217.915927559374,1,8
1620,221.930652551608,1,8
1680,253.080428978191,1,4.00006666666667
1740,253.288316059082,1,3
1800,194.439645470627,1,13
1860,231.130561655163,1,8
1920,213.295395257457,1,8
1980,247.899873956748,1,3
2040,231.280891722768,1,8
2100,176.408297726489,1,13
2160,160.638352540326,1,13
2220,258.389580057765,1,3
2280,209.506883906001,1,8
2340,232.24721663272,1,8
2400,262.900910928053,1,3
2460,244.187129917702,1,3
2520,208.288734821027,1,8
2580,244.160237710885,1,3
2640,190.063123648154,1,13
2700,247.865478076877,1,4.00015000000003
2760,243.560385147884,1,3
2820,251.277093942997,1,3
2880,160.629232230785,1,13
2940,266.0054351933,1,3
3000,262.907350199524,1,3
3060,219.964365212259,1,8
3120,206.725349774866,1,8
3180,230.433799195894,1,8
3240,194.594220628928,1,13
3300,237.725621338788,1,8
3360,220.960550207722,1,8
3420,213.363406284336,1,8
3480,176.799176347454,1,13
3540,251.844686198231,1,3
3600,210.986566443518,1,7.99991666666665
3660,166.311845159955,1,13
3720,243.486811141716,1,3
3780,166.906943766283,1,13
3840,183.753081316959,1,13
3900,222.947964624017,1,8
3960,213.65132583967,1,8
4020,229.255589992707,1,8
4080,235.73422343934,1,8
4140,242.165272596337,1,3
4200,256.385969980744,1,3
4260,177.015071503255,1,13
4320,251.509584085433,1,3
4380,250.019922440112,1,3
4440,223.131842526008,1,8
4500,218.513646001285,1,8
4560,211.384521816906,1,8
4620,189.013481599306,1,13
4680,224.96440780296,1,8
4740,243.86624916408,1,3
4800,206.932011581156,1,8
4860,215.126732378129,1,8
4920,207.146599038857,1,8
4980,229.699090432285,1,8
5040,163.475284964867,1,13
5100,218.336693832628,1,8
5160,208.169937656935,1,8
5220,255.804934700761,1,3
5280,252.377750246775,1,3
5340,204.184949550421,1,8
5400,241.87263279298,1,3
5460,194.120691965569,1,13
5520,260.670641643395,1,3
5580,207.389734613121,1,8
5640,263.49369019237,1,3
5700,167.778698894027,1,13
5760,255.742737471741,1,3
5820,247.075279464381,1,3
5880,234.423796092972,1,8
5940,181.706674245839,1,13
6000,173.728576007807,1,13
6060,262.170087017521,1,3
6120,253.494674336803,1,3
6180,185.862819111022,1,13
6240,162.689666025951,1,13
6300,245.609086001204,1,3
6360,255.112254299078,1,3
6420,245.189999528202,1,3
6480,264.916087298609,1,3
6540,167.79931825218,1,13
6600,168.015483339807,1,13
6660,184.617670312167,1,13
6720,184.581280796622,1,13
6780,265.337251175709,1,3
6840,173.155152921633,1,13
6900,247.042376486302,1,3
6960,249.196954460515,1,3
7020,227.099805073434,1,8
7080,183.619007991495,1,13
7140,162.476258974535,1,13
7200,249.105975863931,1,3
7260,233.001574116903,1,8
7320,261.77440893827,1,8
7380,-126.040678387551,1,3
7440,198.562784886927,0,3
7500,282.221795397031,1,8
7560,281.537707433013,1,8
7620,281.467632965641,1,8
7680,-328.266244356014,1,3
7740,120.403425599726,0,3
7800,264.60769998665,1,8
7860,297.234387447009,1,8
7920,246.154894637265,1,13
7980,300.182531263844,1,8
8040,166.605880745948,1,3
8100,253.635156914382,1,13
8160,231.797616490319,1,13
8220,-362.757746806913,1,3
8280,53.4777401017937,0,3
8340,267.349814157369,1,8
8400,223.484278770698,1,13
8460,294.741440380871,1,8
8520,281.127178858489,1,8
8580,219.392054880116,1,13
8640,262.276748423418,1,3
8700,175.033580492179,1,13
8760,246.752138542656,1,3
8820,213.619210465198,1,8
8880,259.656252097136,1,3
8940,262.274032801638,1,3
9000,254.173020055513,1,3
9060,187.351748863106,1,13
9120,207.75286575065,1,8
9180,182.516468394734,1,13
9240,205.881359738008,1,8
9300,234.326319212052,1,8
9360,261.976925340966,1,3
9420,250.607644209716,1,3
9480,231.874716794943,1,8
9540,255.314400889064,1,3
9600,257.46311280539,1,3
9660,245.609607479443,1,3
9720,256.069243021373,1,3
9780,256.75103320565,1,3
9840,248.179371993923,1,3
