"t","utility","dimmer","servers"
660,258.977090044557,1,3
720,254.095851237398,1,3
780,169.113249947803,1,12.9998333333333
840,207.914647795163,1,8
900,202.415240172534,1,8
960,261.970395614486,1,3
1020,214.932674235201,1,8
1080,222.785542513269,1,8
1140,253.623948280962,1,3
1200,223.07280329439,1,8
1260,226.343103999325,1,8
1320,184.181397040424,1,13
1380,205.898257596207,1,8
1440,264.994572557541,1,3
1500,260.298179644792,1,3
1560,236.579693806081,1,8
1620,215.675513381239,1,8
1680,212.774184160389,1,8
1740,210.14039905121,1,8
1800,241.791488333137,1,3
1860,186.199640067354,1,13
1920,229.244578697224,1,3
1980,-42.034854969976,1,3
2040,262.180525796626,1.66666666662726e-05,3
2100,257.325049527204,1,8
2160,281.532456495669,1,8
2220,112.528942845878,1,3
2280,-115.179821868549,1,3
2340,211.135115464204,0,3
2400,-76.324033587641,1,3
2460,218.097856491821,0,3
2520,-124.491820137112,0.99998333333333,3
2580,190.585237557903,0,3
2640,-80.0215585456915,1,3
2700,231.486119982293,0,3
2760,292.767598708728,1,8
2820,264.098563881159,1,8
2880,260.471884653706,1,8
2940,224.411794964863,1,3
3000,-356.486037927733,1,3
3060,108.407743062091,0,3
3120,-362.689821810364,1,3
3180,36.5646077314078,0,3
3240,291.587977373188,1,8
3300,276.684377300755,1,8
3360,276.893749975268,1,8
3420,290.346691820691,1,8
3480,9.17973677873306,1,3
3540,155.6824791855,1,3
3600,-77.239299842886,1,3
3660,237.827079933711,1.66666666700621e-05,3
3720,286.828238540995,1,8
3780,296.123159448659,1,8
3840,271.448151474641,1,8
3900,262.999680030537,1,8
3960,39.8921235497024,1,3
4020,-348.338610542512,1,3
4080,144.212361439645,0,3
4140,265.725922631657,1,8
4200,304.600846052322,1,8
4260,277.313676535633,1,8
4320,267.219624408729,1,8
4380,270.564295099241,1,8
4440,284.849610245437,1,8
4500,291.444673574329,1,8
4560,284.897122756783,1,8
4620,258.62101277545,1,8
4680,222.586629799375,1,13
4740,271.121026795862,1,9.00006666666668
4800,264.978406808411,1,8
4860,287.200747965326,1,8
4920,302.598194587809,1,8
4980,-28.096017230111,1,3
5040,234.631584815784,1.66666666700621e-05,3
5100,259.298758933618,1,8
5160,288.323976512661,1,8
5220,266.153145050361,1,8
5280,291.331003557346,1,8
5340,302.486699507573,1,8
5400,298.394666004712,1,8
5460,277.174570188846,1,8
5520,278.355173253535,1,8
5580,303.925889594983,1,8
5640,288.086458344338,1,8
5700,-353.050017087746,1,3
5760,123.778433571351,0,3
5820,286.565077728317,1,8
5880,260.207936984115,1,8
5940,281.784239375687,1,8
6000,295.11630868532,1,8
6060,263.697666821722,1,8
6120,284.650524799966,1,8
6180,277.482601602526,1,8
6240,272.81681960208,1,8
6300,221.817558745112,1,13
6360,284.209833357378,1,8
6420,293.389349701247,1,8
6480,295.341227530393,1,8
6540,270.993195847879,1,8
6600,276.519116138522,1,8
6660,264.319946666606,1,8
6720,296.001512568997,1,8
6780,272.141079489451,1,8
6840,240.277765399643,1,13
6900,284.455897453389,1,8
6960,-355.142254456886,1,4.00006666666668
7020,48.0627231202179,1.66666666700621e-05,3
7080,281.471897280263,1,8
7140,297.479989744224,1,8
7200,225.939720852779,1,13
7260,261.45344126533,1,8
7320,224.185138428344,1,4.00006666666668
7380,281.847379818965,1,8
7440,263.791627585562,1,8
7500,268.800870443325,1,8
7560,288.315425339683,1,8
7620,276.123797796517,1,8
7680,270.016783635226,1,8
7740,302.619296074681,1,8
7800,290.022365249853,1,8
7860,219.3058250914,1,13
7920,288.686750730867,1,8
7980,272.532213662027,1,8
8040,289.072238472492,1,8
8100,-28.4580933324339,1,3
8160,245.82381026572,0,3
8220,270.162792123293,1,8
8280,301.313122612857,1,8
8340,291.245428430352,1,8
8400,286.764391969711,1,8
8460,203.139295954243,1,3
8520,277.176422776591,1,8
8580,262.076212178056,1,8
8640,232.842497943009,1,8
8700,165.499081514968,1,13
8760,224.859060550791,1,8
8820,263.857869100937,1,3
8880,208.245080390493,1,8
8940,205.217877326214,1,8
9000,211.030397948126,1,8
9060,221.38009231202,1,8
9120,215.212989335133,1,8
9180,219.105474491128,1,8
9240,219.86807098274,1,8
9300,192.493282566735,1,12.9999166666666
9360,210.13428007622,1,8
9420,204.239440515155,1,8
9480,173.61299838864,1,13
9540,236.404921703784,1,8
9600,208.489807336088,1,8
9660,211.34448523647,1,8
9720,258.171564074663,1,3
9780,226.373889919373,1,8
9840,208.30298405816,1,8
