"t","utility","dimmer","servers"
660,220.682441037097,1,8
720,246.138503591125,1,3
780,226.247135416234,1,7.99991666666667
840,213.893528845304,1,8
900,214.996214491866,1,8
960,256.563548850737,1,4.00006666666667
1020,211.069426155846,1,8
1080,234.017608116467,1,8
1140,257.411685240581,1,4.00006666666667
1200,216.77752075858,1,8
1260,223.761674390398,1,8
1320,254.484597195807,1,3
1380,224.895725371084,1,8
1440,245.68287744262,1,3
1500,238.522765227041,1,7.99991666666667
1560,251.734585057898,1,4.0002
1620,221.156621689149,1,8
1680,205.883845945081,1,8
1740,237.915805710782,1,8
1800,255.990906300552,1,3
1860,225.020752475929,1,8
1920,243.734953739376,1,3
1980,252.26657274807,1,3
2040,238.152229256393,1,8
2100,211.360899402734,1,8
2160,214.762091401468,1,8
2220,243.578909405607,1,3
2280,247.911279732497,1,3
2340,225.287600302717,1,8
2400,254.476320307456,1,3
2460,216.674922207627,1,8
2520,249.760287003207,1,4.00013333333333
2580,239.046132439765,1,7.99991666666665
2640,212.577116663974,1,8
2700,209.479481015913,1,8
2760,217.215848803188,1,8
2820,265.197622345592,1,3
2880,245.40224067755,1,3
2940,252.976511782425,1,3
3000,261.976953639989,1,3
3060,220.614168723224,1,8
3120,210.145055932795,1,8
3180,250.360561631057,1,3
3240,263.996378567929,1,3
3300,206.465855557964,1,7.99991666666665
3360,257.116591173655,1,3
3420,218.692047991028,1,8
3480,256.029710449721,1,3
3540,233.649936513851,1,8
3600,251.263732978737,1,3
3660,220.339008346601,1,8
3720,231.35169980839,1,8
3780,224.61874123941,1,8
3840,238.227794204138,1,4.00046666666667
3900,243.147909782884,1,3
3960,222.133126771904,1,8
4020,210.606539396149,1,8
4080,260.750566194783,1,3
4140,261.353563571443,1,3
4200,253.187785819639,1,3
4260,266.10989180999,1,3
4320,242.879173439741,1,3
4380,227.981939333532,1,8
4440,211.227246659798,1,8
4500,222.188655826974,1,8
4560,230.278203627545,1,8
4620,248.460902953063,1,3
4680,260.631843109043,1,3
4740,259.396961462619,1,3
4800,256.448479508355,1,3
4860,230.112966151441,1,8
4920,204.00979833849,1,8
4980,254.48221794059,1,3
5040,205.777696354139,1,7.99991666666665
5100,249.995456382824,1,4.00006666666668
5160,219.175126782014,1,8
5220,213.892522727616,1,8
5280,242.73990956781,1,3
