"t","utility","dimmer","servers"
660,220.87626186047,1,8
720,216.416350677994,1,8
780,245.673668288001,1,4.00006666666667
840,249.188910720898,1,3
900,204.175555001425,1,8
960,251.856288432582,1,4.00006666666667
1020,253.445149853065,1,3
1080,260.592900121568,1,3
1140,215.098300956698,1,8
1200,257.808412420895,1,3
1260,226.344250841496,1,7.99975000000001
1320,229.969843153975,1,8
1380,236.80977518893,1,4.00006666666667
1440,261.730390589802,1,3
1500,225.467245458541,1,7.99991666666667
1560,262.161369931537,1,3
1620,253.389762234162,1,3
1680,212.433964067838,1,8
1740,209.632544809352,1,8
1800,203.532355008155,1,8
1860,261.979573429442,1,3
1920,205.60777300023,1,3
1980,-36.6392476609016,1,3
2040,263.398533590005,1.66666666662726e-05,3
2100,241.237782559926,1,3
2160,-218.548539128159,1,3
2220,159.362928677186,0,3
2280,-61.0712207268384,1,3
2340,222.022514712461,0,3
2400,280.128480976762,1,8
2460,-238.793325738216,1,3
2520,151.028484834968,1.66666666700621e-05,3
2580,260.053925952081,1,3
2640,-101.397204755759,1,3
2700,221.273505588873,0,3
2760,-354.1568889112,1,3
2820,95.9766998188729,0,3
2880,259.953828328278,1,8
2940,229.418521472053,1,3
3000,-356.486037927733,1,3
3060,89.8139518526059,1.66666666700621e-05,3
3120,300.542106820713,1,8
3180,262.190331762971,1,8
3240,-343.922200508443,1,4.00033333333334
3300,112.408950872017,3.33333333325451e-05,3
3360,276.704395332634,1,8
3420,-211.068068192285,1,4.00006666666668
3480,139.470516194052,0,3
3540,269.579265653864,1,8
3600,281.090564087276,1,8
3660,290.492154760652,1,8
3720,286.561739741636,1,8
3780,296.014812975856,1,8
3840,271.674581743872,1,8
3900,263.16877034218,1,8
3960,274.908754191784,1,8
4020,239.544452947463,1,13
4080,276.003931321803,1,8
4140,265.865217912974,1,8
4200,304.460716002471,1,8
4260,277.164054260641,1,8
4320,267.299814183278,1,8
4380,270.656198540595,1,8
4440,284.566248098184,1,8
4500,291.575103094389,1,8
4560,285.331203160486,1,8
4620,258.80067312444,1,8
4680,269.1981259572,1,8
4740,280.088472125114,1,8
4800,264.921266299631,1,8
4860,287.201605532266,1,8
4920,255.26404476134,1,13
4980,273.203918353406,1,8
5040,285.222167692407,1,8
5100,259.259567846277,1,8
5160,288.455178826249,1,8
5220,266.332241861153,1,8
5280,291.601143740093,1,8
5340,302.461090770408,1,8
5400,297.998799473279,1,8
5460,277.223130237394,1,8
5520,278.54485082895,1,8
5580,303.698009025041,1,8
5640,242.387522317975,1,13
5700,292.097598229339,1,8
5760,283.680866791787,1,8
5820,286.33908276078,1,8
5880,260.061370198322,1,8
5940,281.849305029667,1,8
6000,295.338135110857,1,8
6060,264.176231056076,1,8
6120,284.408770293297,1,8
6180,277.724909518231,1,8
6240,272.575446801161,1,8
6300,267.825069794229,1,8
6360,283.995960770504,1,8
6420,293.134520299611,1,8
6480,295.522132351147,1,8
6540,270.963072052083,1,8
6600,230.717514235282,1,12.9999166666666
6660,264.080940818143,1,8
6720,296.097863065361,1,8
6780,271.996495593793,1,8
6840,285.888591998141,1,8
6900,284.23319190882,1,8
6960,302.559294797556,1,8
7020,298.854998637884,1,8
7080,281.487160273474,1,8
7140,297.361860606226,1,8
7200,271.113661437871,1,8
7260,261.339234384373,1,8
7320,259.924666316068,1,8
7380,281.650005699562,1,8
7440,263.652287042633,1,8
7500,223.577490330666,1,13
7560,288.197890636178,1,8
7620,276.380425827668,1,8
7680,269.99374506834,1,8
7740,302.400243195105,1,8
7800,290.318108575686,1,8
7860,263.886818635695,1,8
7920,288.733625347312,1,8
7980,227.646754984904,1,13
8040,244.605212863827,1,13
8100,275.514947956517,1,8
8160,287.181588779422,1,8
8220,270.235060687336,1,8
8280,301.036770756298,1,8
8340,291.084676252033,1,8
8400,286.884461859845,1,8
8460,270.197065076034,1,8
8520,280.741409132437,1,8
8580,262.151640701917,1,8
8640,232.973773901887,1,8
8700,209.698249289465,1,8
8760,224.711543798598,1,8
8820,238.010368889466,1,8
8880,208.128919080962,1,8
8940,204.994686938514,1,8
9000,211.203523075705,1,8
9060,221.505468139754,1,8
9120,215.021230765164,1,8
9180,219.449225671141,1,8
9240,219.93120515661,1,8
9300,236.768656933258,1,8
9360,210.031793665963,1,8
9420,204.110974400407,1,8
9480,173.70909536599,1,12.9998333333333
9540,236.217213955465,1,8
9600,208.737674906622,1,8
9660,248.347244510168,1,3
9720,226.149820282994,1,8
9780,247.497932188043,1,4.00006666666668
9840,246.170142980344,1,3
