"t","utility","dimmer","servers"
660,222.288953315299,1,8
720,237.61885498573,1,4.00013333333333
780,227.324559883043,1,8
840,214.59093290415,1,8
900,252.820795107125,1,3
960,232.449942553726,1,8
1020,211.737257620572,1,8
1080,234.585743759744,1,8
1140,234.628120723129,1,8
1200,217.623936662323,1,8
1260,224.349390861844,1,8
1320,253.972938429953,1,3
1380,225.415841955723,1,7.99991666666667
1440,206.592294583502,1,8
1500,260.889124802362,1,3
1560,228.53011485591,1,8
1620,256.833400994598,1,3
1680,244.381210204526,1,3
1740,238.112487427708,1,8
1800,222.549490685516,1,8
1860,258.361384131597,1,3
1920,243.498632304213,1,3
1980,170.03437718882,1,13
2040,254.745936957595,1,4.00015
2100,247.60354692697,1,3
2160,214.732118437867,1,8
2220,205.589127834088,1,8
2280,246.726802247612,1,3
2340,257.163365890745,1,3
2400,255.605196634338,1,3
2460,216.533268423581,1,8
2520,260.74118916525,1,3
2580,265.258742351536,1,3
2640,212.349377156762,1,7.99991666666665
2700,247.098622262504,1,3
2760,252.686029172259,1,3
2820,239.645715582847,1,8
2880,244.995583003108,1,3
2940,253.724857458171,1,3
3000,259.887952619278,1,3
3060,220.554304342622,1,8
3120,247.257752406379,1,3
3180,250.681201246262,1,3
3240,262.785388817815,1,3
3300,206.268694184424,1,8
3360,222.939640404847,1,8
3420,253.49835283452,1,3
3480,258.727690502564,1,3
3540,263.390188773127,1,3
3600,251.200130475423,1,3
3660,255.542554790591,1,3
3720,261.440088719763,1,3
3780,256.655460228587,1,3
3840,208.789701999682,1,8
3900,205.394273772953,1,8
3960,247.759102157854,1,4.00006666666668
4020,210.746775712521,1,8
4080,257.455196499908,1,3
4140,237.123780357563,1,7.99991666666665
4200,217.800797065548,1,8
4260,252.161028603796,1,4.00006666666668
4320,242.979707167699,1,3
4380,260.702306583065,1,3
4440,211.310314000162,1,8
4500,222.291830610473,1,8
4560,260.781334469957,1,3
4620,210.826227055682,1,8
4680,262.182112070568,1,3
4740,259.924794475966,1,3
4800,256.977312467397,1,3
4860,261.533156753999,1,3
4920,203.929698504071,1,8
4980,253.566393316467,1,3
5040,243.852433159774,1,3
5100,257.159359430241,1,3
5160,252.052220866684,1,3
5220,167.272257263867,1,13
5280,242.760607623459,1,3
5340,252.383510264338,1,3
5400,261.766201244812,1,3
5460,249.215153763215,1,3
5520,256.460338830499,1,3
5580,246.088797409594,1,3
5640,255.052068605171,1,3
5700,259.10711846134,1,3
5760,248.114184213388,1,3
5820,246.234944949791,1,3
5880,262.055496475939,1,3
5940,256.556902944503,1,3
6000,244.751531448375,1,3
6060,214.656601533545,1,8
6120,251.906094479825,1,3
6180,242.26867725444,1,3
6240,261.528160346223,1,3
6300,204.596957716174,1,8
6360,207.794847229328,1,8
6420,162.089232719154,1,13
6480,259.493924679274,1,3
6540,258.623779686263,1,3
6600,242.965027966327,1,3
6660,261.694922324024,1,3
6720,250.648036682512,1,3
6780,206.786691023634,1,8
6840,217.841995310849,1,8
6900,244.307041195711,1,3
6960,245.590941371474,1,3
7020,264.462934128206,1,3
7080,247.070782601822,1,3
7140,249.138903599901,1,3
7200,264.812227385242,1,3
7260,261.199335107629,1,3
7320,211.739984360667,1,3
7380,-92.5793113189334,1,3
7440,233.771907462871,0,3
7500,255.353821453466,1,3
7560,-303.354136498202,1,3
7620,138.846561792151,0,3
7680,228.42629874235,1,3
7740,178.533330326128,1,3
7800,-366.075633346178,1,3
7860,0.589331344456484,0,3
7920,-346.936460346716,1,3
7980,110.642349452753,0,3
8040,-220.89391246561,1,3
8100,138.938856313072,0,3
8160,248.780801094128,1,3
8220,-357.501927843296,1,3
8280,76.9701999219818,0,3
8340,268.520900840305,1,8
8400,-145.256263882374,1,4.00006666666668
8460,195.767356571475,0,3
8520,-14.9094274861723,1,3
8580,262.396677611238,5.00000000101863e-05,3
8640,174.222068693607,1,3
8700,-261.892769961082,1,3
8760,139.525636409256,0,3
8820,263.366089920485,1,8
8880,-15.0789925217323,1,3
8940,239.168599324663,0,3
9000,-310.547900111972,1,3
9060,108.013324382214,0,3
9120,300.641329841572,1,8
9180,-364.821647194012,1,3
9240,26.2173255341254,1.66666666700621e-05,3
9300,277.257123878589,1,8
9360,17.3444569943027,1,3
9420,-168.241023484439,1,3
9480,207.430213975571,1.66666666700621e-05,3
9540,301.603123127515,1,8
9600,-360.667052609025,1,3
9660,52.8317573408824,0,3
9720,-252.959213846636,1,3
9780,168.764550437663,0,3
9840,-330.946077608261,1,3
9900,108.182526699171,0,3
9960,201.546809318886,1,3
10020,-192.897481513977,1,3
10080,200.140744050712,0,3
10140,284.683950584664,1,8
10200,291.966474492973,1,8
10260,261.595519215894,1,8
10320,-359.525416743025,1,3
