"t","utility","dimmer","servers"
660,157.899947748444,1,13
720,254.44537973139,1,3
780,196.786533176069,1,8
840,257.45798870044,1,3
900,230.38118123695,1,8
960,208.269052575136,1,8
1020,253.177138621462,1,3
1080,254.30571125791,1,3
1140,173.355832755782,1,13
1200,262.301021223712,1,3
1260,206.119920249829,1,8
1320,265.227413384604,1,3
1380,167.829892735066,1,13
1440,250.145186006772,1,3
1500,210.697672691465,1,8
1560,254.034917466816,1,3
1620,255.577217089482,1,3
1680,263.01569933805,1,3
1740,169.998278766097,1,13
1800,265.435453136139,1,3
1860,229.454264932882,1,8
1920,249.566885883424,1,3
1980,249.33528770878,1,3
2040,260.892950860273,1,3
2100,219.219291750328,1,8
2160,243.074637357982,1,3
2220,178.820064918564,1,13
2280,246.78235432765,1,3
2340,263.2278927706,1,3
2400,228.109086005853,1,8
2460,244.93405171358,1,3
2520,207.356528884885,1,8
2580,160.586408373398,1,13
2640,233.156172247785,1,8
2700,256.806983302849,1,3
2760,244.081850530919,1,3
2820,171.386079337094,1,13
2880,204.090291310273,1,8
2940,265.456769902339,1,3
3000,265.034438201579,1,3
3060,175.193901488796,1,13
3120,244.818839403635,1,3
3180,256.915944076673,1,3
3240,263.321494610201,1,3
3300,193.116106275861,1,13
3360,254.955023461179,1,3
3420,249.018881289968,1,3
3480,255.761938781436,1,3
3540,216.521422972336,1,8
3600,247.686530579803,1,3
3660,246.965707138264,1,3
3720,205.269291671663,1,8
3780,238.53518621119,1,4.00006666666668
3840,257.850061863752,1,3
3900,255.963441741006,1,3
3960,247.404971222259,1,3
4020,184.670139298336,1,13
4080,191.433208705239,1,13
4140,160.94058262865,1,13
4200,257.374097518336,1,3
4260,254.525361859298,1,3
4320,249.938468864418,1,3
4380,251.313812552184,1,3
4440,179.539403837125,1,13
4500,252.795022963029,1,3
4560,167.706666586407,1,13
4620,188.410136212982,1,13
4680,181.566104423296,1,13
4740,161.601242300351,1,13
4800,163.610187296136,1,13
4860,251.66182179985,1,3
4920,207.036524317068,1,8
4980,229.915597399308,1,8
5040,206.357924925465,1,8
5100,252.66721061397,1,3
5160,164.758601382654,1,13
5220,255.878121379874,1,3
5280,253.016005267242,1,3
5340,242.095448730447,1,3
5400,241.627526488621,1,3
5460,237.390474897352,1,8
5520,261.665046105896,1,3
5580,245.314606570546,1,3
5640,236.974123610857,1,8
5700,210.722962822384,1,8
5760,255.4937043281,1,3
5820,245.89400826926,1,3
5880,264.181147730742,1,3
5940,255.717918647383,1,3
6000,250.610190520887,1,3
6060,263.747549630289,1,3
6120,254.433761863279,1,3
6180,261.043312643084,1,3
6240,162.284080200775,1,13
6300,244.594463515621,1,3
6360,255.312186157649,1,3
6420,165.131728210464,1,13
6480,263.241158860168,1,3
6540,210.705813967935,1,8
6600,167.624532632029,1,13
6660,259.466677573139,1,3
6720,226.715509659675,1,8
6780,259.11375420634,1,3
6840,249.8877876594,1,3
6900,209.922079287422,1,8
6960,169.344765818335,1,13
7020,261.05466584786,1,3
7080,260.812485454567,1,3
7140,242.853678517803,1,3
7200,249.298244599916,1,3
7260,189.890204780712,1,13
7320,261.94970005759,1,8
7380,-118.164024082109,1,4.00006666666668
7440,182.986670817436,0,3
7500,-166.44652595797,1,3
7560,187.262062502646,0,3
7620,281.343729975954,1,8
7680,-353.353249197714,1,3
7740,70.5968012628443,0,3
7800,221.822236445158,1,13
7860,-358.361781451069,1,3
7920,112.326580917904,0,3
7980,-361.453151924741,1,3
8040,48.3023193241967,0,3
8100,253.642656024246,1,13
8160,274.664106887325,1,8
8220,-362.757746806913,1,3
8280,40.0058237752224,0,3
8340,267.426870115915,1,8
8400,190.291053919975,1,3
8460,-355.74251636963,1,3
8520,105.038486757669,0,3
8580,219.331147746697,1,13
8640,190.14493432281,1,13
8700,252.51000956037,1,3
8760,247.534604281367,1,3
8820,250.489016458729,1,3
8880,258.206285106208,1,3
8940,186.95803183508,1,13
9000,218.398820297584,1,8
9060,187.195978760599,1,13
9120,208.292601405942,1,8
9180,182.250689092914,1,13
9240,206.086929404807,1,8
9300,264.06096224725,1,3
9360,193.702878544026,1,13
9420,172.34464499238,1,13
9480,231.936909917831,1,8
9540,223.833793724482,1,8
9600,258.303518747234,1,3
9660,246.365348739868,1,3
9720,257.072484460841,1,3
9780,256.62180260749,1,3
9840,248.684014532128,1,3
