"t","utility","dimmer","servers"
660,237.626839661389,1,4.00006666666667
720,256.970609221358,1,3
780,243.174778747994,1,3
840,218.971625930789,1,8
900,254.616008312823,1,4.00006666666667
960,163.87906156962,1,13
1020,217.387000922321,1,8
1080,254.983783563554,1,3
1140,255.856817526375,1,3
1200,228.489827770946,1,7.99991666666667
1260,207.037644527851,1,8
1320,236.094160832021,1,8
1380,250.365927651586,1,3
1440,211.40719535524,1,7.99991666666667
1500,211.844942464923,1,8
1560,218.079608484275,1,8
1620,255.305471084147,1,3
1680,234.023858634344,1,8
1740,251.389541367,1,3
1800,261.948834069328,1,3
1860,258.938392642637,1,3
1920,248.857296687195,1,3
1980,211.008053193598,1,8
2040,231.291370633947,1,8
2100,220.224294220602,1,8
2160,204.42965155647,1,8
2220,224.785434632318,1,8
2280,247.698144528102,1,3
2340,263.764884808343,1,3
2400,228.908864551165,1,8
2460,206.708474219055,1,8
2520,245.502650396932,1,3
2580,205.782253107805,1,8
2640,233.654266476196,1,8
2700,255.662881054153,1,3
2760,242.925465882823,1,3
2820,216.323753808419,1,8
2880,204.240338773312,1,8
2940,263.613218867302,1,3
3000,238.005498859358,1,8
3060,220.171070749586,1,8
3120,206.72618685624,1,8
3180,253.712457513418,1,4.00006666666668
3240,263.792434841886,1,3
3300,237.710322955407,1,7.99974999999999
3360,254.033857284476,1,3
3420,249.067719800104,1,3
3480,220.148632475526,1,8
3540,216.617018242083,1,8
3600,247.607218349992,1,3
3660,209.712906420952,1,8
3720,243.886966357755,1,3
3780,248.188463190509,1,3
3840,226.931378257418,1,7.99991666666665
3900,222.933394712941,1,8
3960,213.792245581626,1,8
4020,260.303833776644,1,3
4080,235.780813824624,1,7.99974999999999
4140,204.930431750207,1,8
4200,256.241648236647,1,3
4260,220.160646269023,1,7.99991666666665
4320,241.479237568085,1,4.00006666666668
4380,251.041462918187,1,3
4440,256.633073930694,1,3
4500,171.890479589798,1,13
4560,211.318847043184,1,8
4620,185.546833430306,1,13
4680,224.790672259635,1,8
4740,204.9147257647,1,8
4800,245.350741379103,1,3
4860,215.131353225512,1,8
4920,206.988061228448,1,8
4980,257.472121280175,1,3
5040,244.102080690443,1,3
5100,253.777083057706,1,3
5160,208.177920226261,1,8
5220,255.496312291429,1,3
5280,253.588711870953,1,3
5340,204.067597580716,1,8
5400,242.661652542817,1,3
5460,237.432031556081,1,7.99933333333335
5520,229.162837470532,1,8
5580,207.561921254257,1,8
5640,236.69951632161,1,8
5700,247.958815258272,1,3
5760,221.096418719217,1,8
5820,237.722495670593,1,4.00006666666668
5880,264.970776160201,1,3
5940,258.001226331791,1,3
6000,216.484183274654,1,8
6060,265.550969212306,1,3
6120,253.935884096984,1,3
6180,228.962809471122,1,8
6240,243.624342265423,1,3
6300,244.531604889377,1,3
6360,223.272481117032,1,8
6420,208.10938773127,1,8
6480,264.478209479388,1,3
6540,210.605266744974,1,8
6600,210.662244041923,1,8
6660,258.667979519673,1,3
6720,227.044516043555,1,8
6780,262.645103077052,1,3
6840,215.555158029291,1,7.9998333333333
6900,210.412852667877,1,8
6960,212.295512691952,1,8
7020,226.924435293326,1,8
7080,226.240337797108,1,8
7140,205.305857579718,1,8
7200,249.585741250891,1,3
7260,262.894139309085,1,3
7320,181.707649527945,1,3
7380,-189.774178211879,1,3
7440,180.982951548749,0,3
7500,-174.054309404937,1,3
7560,186.909060996649,0,3
7620,281.464841116488,1,8
7680,-302.66131250153,1,3
7740,117.074374909502,0,3
7800,264.610575739559,1,8
7860,297.295879183309,1,8
7920,-227.605457352252,1,4.00006666666668
7980,195.65346158689,1.66666666700621e-05,3
8040,272.328247672427,1,8
8100,296.252637908565,1,8
8160,88.3414037312686,1,3
8220,-362.757746806913,1,3
8280,34.7799328258665,0,3
8340,179.693450132721,1,3
8400,202.963678605903,1,3
8460,293.937875555881,1,8
8520,-74.0401682852269,1,3
8580,197.048506046164,0,3
8640,233.134272061345,1,8
8700,217.52173315113,1,8
8760,247.443352187172,1,3
8820,213.812120311948,1,8
8880,260.598294191896,1,3
8940,230.082444809621,1,8
9000,172.306689574769,1,12.9998333333333
9060,230.053433276701,1,8
9120,246.294407657639,1,3
9180,257.004520568444,1,3
9240,244.229148967569,1,3
9300,234.347277806143,1,8
9360,261.355159355809,1,3
9420,250.329222300418,1,3
9480,261.646366910268,1,3
9540,257.386889362883,1,3
9600,257.42401462966,1,3
9660,209.207128873074,1,8
9720,257.733594612163,1,3
9780,225.001360608178,1,8
9840,167.218315210127,1,12.9999166666666
